45 15 -45 75 25 -30
45 15 -45 85 -10 -15
45 15 -45 45 60 -75
45 15 -45 35 60 -90
45 15 -45 80 -25 -25
45 15 -45 55 -15 10
45 15 -45 30 0 40
45 15 -45 50 75 -20
75 25 -30 85 -10 -15
75 25 -30 45 60 -75
75 25 -30 35 60 -90
75 25 -30 80 -25 -25
75 25 -30 55 -15 10
75 25 -30 30 0 40
75 25 -30 50 75 -20
85 -10 -15 45 60 -75
85 -10 -15 35 60 -90
85 -10 -15 80 -25 -25
85 -10 -15 55 -15 10
85 -10 -15 30 0 40
85 -10 -15 50 75 -20
45 60 -75 35 60 -90
45 60 -75 80 -25 -25
45 60 -75 55 -15 10
45 60 -75 30 0 40
45 60 -75 50 75 -20
35 60 -90 80 -25 -25
35 60 -90 55 -15 10
35 60 -90 30 0 40
35 60 -90 50 75 -20
80 -25 -25 55 -15 10
80 -25 -25 30 0 40
80 -25 -25 50 75 -20
55 -15 10 30 0 40
55 -15 10 50 75 -20
30 0 40 50 75 -20
