45.0 15.0 -45.0 75.0 25.0 -30.0 29.7873761343
45.0 15.0 -45.0 85.0 -10.0 -15.0 35.4567941472
45.0 15.0 -45.0 45.0 60.0 -75.0 15.4750354439
45.0 15.0 -45.0 35.0 60.0 -90.0 15.9947161539
45.0 15.0 -45.0 80.0 -25.0 -25.0 37.5935460963
45.0 15.0 -45.0 55.0 -15.0 10.0 36.5634032865
45.0 15.0 -45.0 30.0 0.0 40.0 50.6327877116
45.0 15.0 -45.0 50.0 75.0 -20.0 32.0886381544
75.0 25.0 -30.0 85.0 -10.0 -15.0 21.808386486
75.0 25.0 -30.0 45.0 60.0 -75.0 29.9857610803
75.0 25.0 -30.0 35.0 60.0 -90.0 41.6756679774
75.0 25.0 -30.0 80.0 -25.0 -25.0 34.1211773934
75.0 25.0 -30.0 55.0 -15.0 10.0 37.1497116388
75.0 25.0 -30.0 30.0 0.0 40.0 64.8649338147
75.0 25.0 -30.0 50.0 75.0 -20.0 28.6918697615
85.0 -10.0 -15.0 45.0 60.0 -75.0 37.0641828563
85.0 -10.0 -15.0 35.0 60.0 -90.0 46.6827453272
85.0 -10.0 -15.0 80.0 -25.0 -25.0 9.5529568142
85.0 -10.0 -15.0 55.0 -15.0 10.0 30.5223758828
85.0 -10.0 -15.0 30.0 0.0 40.0 61.0770022425
85.0 -10.0 -15.0 50.0 75.0 -20.0 47.881731235
45.0 60.0 -75.0 35.0 60.0 -90.0 10.3953371615
45.0 60.0 -75.0 80.0 -25.0 -25.0 43.554051138
45.0 60.0 -75.0 55.0 -15.0 10.0 42.4184270783
45.0 60.0 -75.0 30.0 0.0 40.0 61.8106242427
45.0 60.0 -75.0 50.0 75.0 -20.0 22.0561436194
35.0 60.0 -90.0 80.0 -25.0 -25.0 50.0533638764
35.0 60.0 -90.0 55.0 -15.0 10.0 46.4237229899
35.0 60.0 -90.0 30.0 0.0 40.0 61.4695683358
35.0 60.0 -90.0 50.0 75.0 -20.0 29.3676860261
80.0 -25.0 -25.0 55.0 -15.0 10.0 31.3360999381
80.0 -25.0 -25.0 30.0 0.0 40.0 62.05097118
80.0 -25.0 -25.0 50.0 75.0 -20.0 64.4857421668
55.0 -15.0 10.0 30.0 0.0 40.0 30.506732283
55.0 -15.0 10.0 50.0 75.0 -20.0 55.3298941284
30.0 0.0 40.0 50.0 75.0 -20.0 57.4972201893
